sample	unit	fq1	fq2
TORO_RE_114	E150030152_L01_72	E150030152_L01_72_1.fq.gz	E150030152_L01_72_2.fq.gz
TORO_RE_115	E150030144_L01_73	E150030144_L01_73_1.fq.gz	E150030144_L01_73_2.fq.gz
TORO_RE_116	E150030144_L01_74	E150030144_L01_74_1.fq.gz	E150030144_L01_74_2.fq.gz
TORO_RE_126	E150030067_L01_93	E150030067_L01_93_1.fq.gz	E150030067_L01_93_2.fq.gz
TORO_RE_126_AR	E150030144_L01_75	E150030144_L01_75_1.fq.gz	E150030144_L01_75_2.fq.gz
TORO_RE_137	E150030067_L01_91	E150030067_L01_91_1.fq.gz	E150030067_L01_91_2.fq.gz
TORO_RE_139	E150030067_L01_92	E150030067_L01_92_1.fq.gz	E150030067_L01_92_2.fq.gz
TORO_RE_141	E150030144_L01_76	E150030144_L01_76_1.fq.gz	E150030144_L01_76_2.fq.gz
TORO_RE_142	E150030144_L01_77	E150030144_L01_77_1.fq.gz	E150030144_L01_77_2.fq.gz
TORO_RE_143	E150030144_L01_78	E150030144_L01_78_1.fq.gz	E150030144_L01_78_2.fq.gz
TORO_RE_144	E150030144_L01_79	E150030144_L01_79_1.fq.gz	E150030144_L01_79_2.fq.gz
TORO_RE_145	E150030144_L01_80	E150030144_L01_80_1.fq.gz	E150030144_L01_80_2.fq.gz
TORO_RE_146	E150030144_L01_81	E150030144_L01_81_1.fq.gz	E150030144_L01_81_2.fq.gz
TORO_RE_154	E150030144_L01_82	E150030144_L01_82_1.fq.gz	E150030144_L01_82_2.fq.gz
TORO_RE_155	E150030144_L01_83	E150030144_L01_83_1.fq.gz	E150030144_L01_83_2.fq.gz
TORO_RE_156	E150030144_L01_84	E150030144_L01_84_1.fq.gz	E150030144_L01_84_2.fq.gz
TORO_RE_157	E150030144_L01_85	E150030144_L01_85_1.fq.gz	E150030144_L01_85_2.fq.gz
TORO_RE_158	E150030144_L01_86	E150030144_L01_86_1.fq.gz	E150030144_L01_86_2.fq.gz
TORO_RE_159	E150030048_L01_87	E150030048_L01_87_1.fq.gz	E150030048_L01_87_2.fq.gz
TORO_RE_159	E150030144_L01_87	E150030144_L01_87_1.fq.gz	E150030144_L01_87_2.fq.gz
TORO_RE_160	E150030144_L01_88	E150030144_L01_88_1.fq.gz	E150030144_L01_88_2.fq.gz
TORO_RE_161	E150030067_L01_89	E150030067_L01_89_1.fq.gz	E150030067_L01_89_2.fq.gz
TORO_RE_166	E150030067_L01_90	E150030067_L01_90_1.fq.gz	E150030067_L01_90_2.fq.gz
TORO_RE_50	E150030104_L01_4	E150030104_L01_4_1.fq.gz	E150030104_L01_4_2.fq.gz
TORO_RE_51	E150030104_L01_13	E150030104_L01_13_1.fq.gz	E150030104_L01_13_2.fq.gz
TORO_RE_52	E150030104_L01_14	E150030104_L01_14_1.fq.gz	E150030104_L01_14_2.fq.gz
TORO_RE_53	E150030104_L01_15	E150030104_L01_15_1.fq.gz	E150030104_L01_15_2.fq.gz
TORO_RE_54	E150030104_L01_16	E150030104_L01_16_1.fq.gz	E150030104_L01_16_2.fq.gz
TORO_RE_55	E150030104_L01_41	E150030104_L01_41_1.fq.gz	E150030104_L01_41_2.fq.gz
TORO_RE_56	E150030104_L01_42	E150030104_L01_42_1.fq.gz	E150030104_L01_42_2.fq.gz
TORO_RE_57	E150030104_L01_43	E150030104_L01_43_1.fq.gz	E150030104_L01_43_2.fq.gz
TORO_RE_58	E150030104_L01_44	E150030104_L01_44_1.fq.gz	E150030104_L01_44_2.fq.gz
TORO_RE_61	E150030104_L01_45	E150030104_L01_45_1.fq.gz	E150030104_L01_45_2.fq.gz
TORO_RE_62	E150030104_L01_46	E150030104_L01_46_1.fq.gz	E150030104_L01_46_2.fq.gz
TORO_RE_63	E150030104_L01_47	E150030104_L01_47_1.fq.gz	E150030104_L01_47_2.fq.gz
TORO_RE_64	E150030104_L01_48	E150030104_L01_48_1.fq.gz	E150030104_L01_48_2.fq.gz
TORO_RE_66	E150030152_L01_57	E150030152_L01_57_1.fq.gz	E150030152_L01_57_2.fq.gz
TORO_RE_68	E150030152_L01_58	E150030152_L01_58_1.fq.gz	E150030152_L01_58_2.fq.gz
TORO_RE_69	E150030152_L01_59	E150030152_L01_59_1.fq.gz	E150030152_L01_59_2.fq.gz
TORO_RE_70	E150030152_L01_60	E150030152_L01_60_1.fq.gz	E150030152_L01_60_2.fq.gz
TORO_RE_71	E150030152_L01_61	E150030152_L01_61_1.fq.gz	E150030152_L01_61_2.fq.gz
TORO_RE_72	E150030152_L01_62	E150030152_L01_62_1.fq.gz	E150030152_L01_62_2.fq.gz
TORO_RE_73	E150030152_L01_63	E150030152_L01_63_1.fq.gz	E150030152_L01_63_2.fq.gz
TORO_RE_74	E150030152_L01_64	E150030152_L01_64_1.fq.gz	E150030152_L01_64_2.fq.gz
TORO_RE_75	E150030152_L01_65	E150030152_L01_65_1.fq.gz	E150030152_L01_65_2.fq.gz
TORO_RE_77	E150030152_L01_66	E150030152_L01_66_1.fq.gz	E150030152_L01_66_2.fq.gz
TORO_RE_78	E150030152_L01_67	E150030152_L01_67_1.fq.gz	E150030152_L01_67_2.fq.gz
TORO_RE_79	E150030152_L01_68	E150030152_L01_68_1.fq.gz	E150030152_L01_68_2.fq.gz
TORO_RE_80	E150030152_L01_69	E150030152_L01_69_1.fq.gz	E150030152_L01_69_2.fq.gz
TORO_RE_82	E150030152_L01_70	E150030152_L01_70_1.fq.gz	E150030152_L01_70_2.fq.gz
TORO_RE_84	E150030152_L01_71	E150030152_L01_71_1.fq.gz	E150030152_L01_71_2.fq.gz
